Scheme,Implementation,Key Generation [cycles] (mean),Key Generation [cycles] (min),Key Generation [cycles] (max),Encapsulation [cycles] (mean),Encapsulation [cycles] (min),Encapsulation [cycles] (max),Decapsulation [cycles] (mean),Decapsulation [cycles] (min),Decapsulation [cycles] (max),Key Generation [bytes],Encapsulation [bytes],Decapsulation [bytes],nan,nan,nan,nan,nan,nan,.text [bytes],.data [bytes],.bss [bytes],Total [bytes],nan_size,nan_size,nan_size,nan_size,nan_size,Total_Cycles,Max_RAM,Flash,Security_Level,EAS_Class 0,EAS_Class 1,EAS_Class 2
bikel1,m4f,27382389,27382366,27382406,3363252,3363238,3363291,56744036,56744013,56744062,43976,32192,91372,,,,,,,181088,24,49,181161,,,,,,87489677.0,181161.0,181161.0,1,0.0,0.0,0.0
bikel1,m4f,27382389,27382366,27382406,3363252,3363238,3363291,56744036,56744013,56744062,0.2,15.9,0.9,,,,,,,181088,24,49,181161,,,,,,87489677.0,181161.0,181161.0,1,0.0,0.0,0.0
bikel1,opt,76272765,76272741,76272809,5295900,5295877,5295931,138514606,138514541,138514711,35748,25836,78540,,,,,,,34451,24,1,34476,,,,,,220083271.0,78540.0,34476.0,1,0.0,0.0,0.0
bikel1,opt,76272765,76272741,76272809,5295900,5295877,5295931,138514606,138514541,138514711,0.1,10.1,0.4,,,,,,,34451,24,1,34476,,,,,,220083271.0,34476.0,34476.0,1,0.0,0.0,0.794
bikel3,m4f,66285221,66285184,66285235,8441498,8441478,8441521,150282952,150282849,150282974,85744,62944,175128,,,,,,,198034,24,49,198107,,,,,,225009671.0,198107.0,198107.0,3,0.0,0.0,0.0
bikel3,m4f,66285221,66285184,66285235,8441498,8441478,8441521,150282952,150282849,150282974,0.1,12.2,0.7,,,,,,,198034,24,49,198107,,,,,,225009671.0,198107.0,198107.0,3,0.0,0.0,0.0
bikel3,opt,248083316,248083286,248083345,16405238,16405236,16405241,423262047,423261952,423262086,69444,50556,155388,,,,,,,43091,24,1,43116,,,,,,687750601.0,155388.0,43116.0,3,0.0,0.0,0.0
bikel3,opt,248083316,248083286,248083345,16405238,16405236,16405241,423262047,423261952,423262086,0.0,6.3,0.2,,,,,,,43091,24,1,43116,,,,,,687750601.0,43116.0,43116.0,3,0.0,0.0,0.931
hqc-128,clean,52705201,52705180,52705224,105650897,105650877,105650927,159569179,159569176,159569183,33644,51428,55892,,,,,,,18628,0,0,18628,,,,,,317925277.0,55892.0,18628.0,1,0.0,0.0,0.0
hqc-128,clean,52705201,52705180,52705224,105650897,105650877,105650927,159569179,159569176,159569183,0.4,0.8,0.5,,,,,,,18628,0,0,18628,,,,,,317925277.0,18628.0,18628.0,1,0.0,0.0,0.904
hqc-192,clean,161458617,161458590,161458638,323146261,323146250,323146292,486156251,486156214,486156266,65668,101636,110660,,,,,,,21104,0,0,21104,,,,,,970761129.0,110660.0,21104.0,3,0.0,0.0,0.0
hqc-192,clean,161458617,161458590,161458638,323146261,323146250,323146292,486156251,486156214,486156266,0.3,0.5,0.3,,,,,,,21104,0,0,21104,,,,,,970761129.0,21104.0,21104.0,3,0.0,0.0,1.085
hqc-256,clean,295934078,295934057,295934104,591853870,591853850,591853898,891163005,891162988,891163038,103756,161508,175972,,,,,,,26260,0,0,26260,,,,,,1778950953.0,175972.0,26260.0,5,0.0,0.0,0.0
hqc-256,clean,295934078,295934057,295934104,591853870,591853850,591853898,891163005,891162988,891163038,0.2,0.4,0.3,,,,,,,26260,0,0,26260,,,,,,1778950953.0,26260.0,26260.0,5,0.0,0.0,1.248
ml-kem-1024,clean,1536343,1535750,1536698,1708071,1707476,1708427,2020327,2019721,2020672,15128,18776,20352,,,,,,,6160,0,0,6160,,,,,,5264741.0,20352.0,6160.0,5,0.0,0.0,1.318
ml-kem-1024,clean,1536343,1535750,1536698,1708071,1707476,1708427,2020327,2019721,2020672,50.0,45.7,38.6,,,,,,,6160,0,0,6160,,,,,,5264741.0,6160.0,6160.0,5,1.246,1.246,1.401
ml-kem-1024,m4fspeed,1018976,1014877,1026934,1031565,1027454,1039544,1094008,1089897,1101987,6436,7500,7484,,,,,,,16916,0,0,16916,,,,,,3144549.0,16916.0,16916.0,5,0.0,0.0,1.327
ml-kem-1024,m4fspeed,1018976,1014877,1026934,1031565,1027454,1039544,1094008,1089897,1101987,75.3,75.5,71.2,,,,,,,16916,0,0,16916,,,,,,3144549.0,16916.0,16916.0,5,0.0,0.0,1.327
